국가,Both sexes,Female,Male
대한민국,34.6,16.4,47
호주,28.9,14.4,40.7
오스트리아,32.2,15.9,45.7
벨기에,34.3,16.8,48.4
캐나다,29.9,14.3,40.8
칠레,29.6,14.4,40.6
체코,41.3,20.1,58.2
덴마크,30.1,14.8,42.1
에스토니아,34.4,17,49.4
핀란드,31.9,15.5,44.5
프랑스,36.1,17.9,51.1
독일,36.5,18,51.9
그리스,34.5,16.5,47.5
헝가리,37,17.9,51.8
아이슬란드,27.6,13.4,38
아일랜드,34.6,17.2,49.1
이스라엘,15.1,7.2,20.1
이탈리아,25.9,12.3,35.6
일본,30.4,14.2,41
라트비아,37.2,18.7,54.3
룩셈부르그,30.6,15.5,44.4
멕시코,33.1,15.4,42.6
네덜란드,26,12.6,36
뉴질랜드,30.9,15.4,43.6
노르웨이,20.4,10,28.6
폴란드,37,17.9,51.5
포르투갈,38.4,18.8,54.3
슬로바키아,35.8,17.3,50
슬로베니아,38.3,18.3,53.2
스페인,31.5,15.1,43.8
스웨덴,27.1,13.2,37.6
스위스,30.6,15.2,43.6
터키,61.7,25.8,71.9
영국,33.7,16.5,47.1
미국,29.6,14.4,41
